,Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Unnamed: 0,target
16194852,16194852,2021-07-27 17:48:38.788897+00:00,x,y,2021-08-10 17:00:00+00:00,2021-08-10 18:59:00+00:00,gamma,True,20.0,1,c-6,16194852,7765.0
4355698,4355698,2021-04-07 09:49:07.713596+00:00,x,y,2021-04-08 17:00:00+00:00,2021-04-08 18:59:00+00:00,gamma,True,20.0,2,c-6,4355698,9395.0
17608329,17608329,2021-08-07 18:33:03.946012+00:00,x,y,2021-09-10 14:00:00+00:00,2021-09-10 16:00:00+00:00,gamma,True,20.0,2,c-4,17608329,13560.0
2777054,2777054,2021-03-07 12:19:01.740361+00:00,x,y,2021-03-21 15:30:00+00:00,2021-03-21 17:30:00+00:00,alpha,True,15.0,1,a-7,2777054,7502.0
1607619,1607619,2021-02-13 06:29:55.445721+00:00,x,y,2021-03-01 14:00:00+00:00,2021-03-01 15:55:00+00:00,beta,True,20.0,0,b-9,1607619,11504.0
8986048,8986048,2021-06-07 10:53:59.676004+00:00,x,y,2021-08-02 17:00:00+00:00,2021-08-02 18:59:00+00:00,gamma,True,20.0,2,c-6,8986048,11900.0
3855199,3855199,2021-03-26 07:02:58.934992+00:00,x,y,2021-03-26 13:30:00+00:00,2021-03-26 15:30:00+00:00,alpha,True,15.0,1,a-5,3855199,9798.0
18392080,18392080,2021-08-11 06:45:24.717812+00:00,x,y,2021-08-23 13:00:00+00:00,2021-08-23 15:00:00+00:00,alpha,True,15.0,1,a-9,18392080,9045.0
18534321,18534321,2021-08-11 18:41:23.196137+00:00,x,y,2021-08-20 05:00:00+00:00,2021-08-20 07:00:00+00:00,alpha,True,20.0,1,a-1,18534321,10545.0
15496712,15496712,2021-07-22 22:49:41.183339+00:00,x,y,2021-07-30 10:30:00+00:00,2021-07-30 12:30:00+00:00,alpha,True,35.0,1,a-5,15496712,12645.0
7156324,7156324,2021-05-19 03:34:49.611981+00:00,x,y,2021-05-20 05:00:00+00:00,2021-05-20 06:55:00+00:00,beta,True,20.0,0,b-1,7156324,7374.0
15433149,15433149,2021-07-22 13:19:46.934006+00:00,x,y,2021-08-02 10:00:00+00:00,2021-08-02 12:00:00+00:00,gamma,True,20.0,2,c-2,15433149,11040.0
17692267,17692267,2021-08-08 08:10:27.077158+00:00,x,y,2021-08-10 17:05:00+00:00,2021-08-10 19:05:00+00:00,omega,True,20.0,1,d-5,17692267,7950.0
14792261,14792261,2021-07-17 06:48:24.755163+00:00,x,y,2021-08-07 05:00:00+00:00,2021-08-07 06:55:00+00:00,beta,True,20.0,0,b-1,14792261,6760.0
3323337,3323337,2021-03-15 17:24:21.071544+00:00,x,y,2021-04-10 05:00:00+00:00,2021-04-10 06:55:00+00:00,beta,True,20.0,0,b-1,3323337,9030.0
13212489,13212489,2021-07-06 20:32:41.011646+00:00,x,y,2021-07-12 07:00:00+00:00,2021-07-12 09:00:00+00:00,alpha,True,15.0,1,a-5,13212489,14945.0
12845036,12845036,2021-07-05 04:24:51.622238+00:00,x,y,2021-07-12 10:00:00+00:00,2021-07-12 12:00:00+00:00,alpha,True,15.0,1,a-7,12845036,11245.0
15984192,15984192,2021-07-26 10:10:28.931698+00:00,x,y,2021-07-28 14:00:00+00:00,2021-07-28 16:00:00+00:00,gamma,True,20.0,2,c-4,15984192,11285.0
19837523,19837523,2021-08-18 15:44:42.729409+00:00,x,y,2021-08-22 10:00:00+00:00,2021-08-22 12:00:00+00:00,gamma,True,20.0,1,c-2,19837523,28185.0
10549695,10549695,2021-06-20 09:56:28.400864+00:00,x,y,2021-06-27 09:45:00+00:00,2021-06-27 11:45:00+00:00,gamma,True,20.0,1,c-2,10549695,7500.0
1675019,1675019,2021-02-14 14:27:14.967870+00:00,x,y,2021-02-14 16:00:00+00:00,2021-02-14 18:10:00+00:00,alpha,True,15.0,1,a-7,1675019,12495.0
10276391,10276391,2021-06-18 02:30:06.586227+00:00,x,y,2021-06-27 09:45:00+00:00,2021-06-27 11:45:00+00:00,gamma,True,20.0,2,c-2,10276391,7620.0
16321858,16321858,2021-07-28 17:42:36.540185+00:00,x,y,2021-08-09 10:00:00+00:00,2021-08-09 12:00:00+00:00,alpha,True,35.0,1,a-7,16321858,8381.0
6083865,6083865,2021-05-03 14:35:53.509829+00:00,x,y,2021-05-16 17:00:00+00:00,2021-05-16 18:59:00+00:00,gamma,True,20.0,1,c-6,6083865,8650.0
9792611,9792611,2021-06-14 06:28:04.677765+00:00,x,y,2021-06-30 13:00:00+00:00,2021-06-30 15:00:00+00:00,alpha,True,35.0,1,a-9,9792611,17792.0
6102558,6102558,2021-05-03 19:41:48.109904+00:00,x,y,2021-05-25 15:30:00+00:00,2021-05-25 17:30:00+00:00,alpha,True,15.0,1,a-7,6102558,8815.0
21458902,21458902,2021-08-29 12:05:47.563644+00:00,x,y,2021-09-25 16:00:00+00:00,2021-09-25 18:00:00+00:00,alpha,True,15.0,1,a-23,21458902,7524.0
